base_origin,feature,r_mean,r_std,is_significant,n_permutations
syn_LEA_1,nardini_Frac A_raw,-0.005240116875834181,0.1319872820427406,0.0,100
syn_LEA_1,nardini_Frac C_raw,-0.013093939304861682,0.29583818748802515,0.0,100
syn_LEA_1,nardini_Frac D_raw,-0.02582249619251308,0.12064706314627703,0.0,100
syn_LEA_1,nardini_Frac E_raw,0.006105414218780426,0.1307539005906506,0.0,100
syn_LEA_1,nardini_Frac F_raw,-0.022575583385132495,0.2520034252031221,0.0,100
syn_LEA_1,nardini_Frac G_raw,-0.008281564681319594,0.1782113852931472,0.0,100
syn_LEA_1,nardini_Frac H_raw,-0.007779921196938592,0.17642845181971503,0.0,100
syn_LEA_1,nardini_Frac I_raw,0.029549647593281953,0.15105251295489885,0.0,100
syn_LEA_1,nardini_Frac K_raw,-0.001317862180243354,0.13315424391474007,0.0,100
syn_LEA_1,nardini_Frac L_raw,0.009953005864375015,0.12394221526522249,0.0,100
syn_LEA_1,nardini_Frac M_raw,0.02152747318881321,0.13723608857568895,0.0,100
syn_LEA_1,nardini_Frac N_raw,-0.0011383919185745882,0.1340189350865491,0.0,100
syn_LEA_1,nardini_Frac P_raw,-0.01862957217876539,0.20953254522100603,0.0,100
syn_LEA_1,nardini_Frac Q_raw,-0.004325850015882019,0.13094953486590424,0.0,100
syn_LEA_1,nardini_Frac R_raw,0.0004780275734619138,0.1316531981542886,0.0,100
syn_LEA_1,nardini_Frac S_raw,0.002636720400395458,0.17039674132813443,0.0,100
syn_LEA_1,nardini_Frac T_raw,0.0038492350231624306,0.15094682699344592,0.0,100
syn_LEA_1,nardini_Frac V_raw,-0.005143346662699421,0.13579693112117924,0.0,100
syn_LEA_1,nardini_Frac W_raw,-0.042933729655870445,0.39224314971530794,0.0,100
syn_LEA_1,nardini_Frac Y_raw,-0.06290922010583332,0.4166524832734617,0.0,100
syn_LEA_1,nardini_Frac K+R_raw,0.010079353126281028,0.18778335194897436,0.0,100
syn_LEA_1,nardini_Frac D+E_raw,-0.017296244083423,0.18594783528380218,0.0,100
syn_LEA_1,nardini_Frac Polar_raw,-0.0037806712104211603,0.15045422024589364,0.0,100
syn_LEA_1,nardini_Frac Aliphatic_raw,0.01102993094326669,0.1747274923337026,0.0,100
syn_LEA_1,nardini_Frac Aromatic_raw,-0.053027501322225785,0.21632493133514116,0.0,100
syn_LEA_1,nardini_R/K Ratio_raw,0.0003425380516737661,0.09825046958959163,0.0,100
syn_LEA_1,nardini_E/D Ratio_raw,0.020058239178762798,0.12887061140065237,0.0,100
syn_LEA_1,nardini_Frac Chain Expanding_raw,-0.007181292820083245,0.16432160128993314,0.0,100
syn_LEA_1,nardini_FCR_raw,-0.008133821289755878,0.22087444441411994,0.0,100
syn_LEA_1,nardini_NCPR_raw,0.028594463888599507,0.2265910705335059,0.0,100
syn_LEA_1,nardini_Hydrophobicity_raw,0.020297981208296685,0.2765269299415857,0.0,100
syn_LEA_1,nardini_Disorder Promoting_raw,-0.015886516618196244,0.16680733500873446,0.0,100
syn_LEA_1,nardini_Iso point_raw,0.038944751424186595,0.1849403410717034,0.0,100
syn_LEA_1,nardini_PPII_raw,0.01374959941450369,0.34081250432563465,0.0,100
syn_LEA_1,nardini_A Patch_raw,0.00782113454640314,0.18082429264253203,0.0,100
syn_LEA_1,nardini_E Patch_raw,-0.06788516884327707,0.2824353733823374,0.0,100
syn_LEA_1,nardini_I Patch_raw,-0.01563073080394019,0.3790576799690473,0.0,100
syn_LEA_1,nardini_K Patch_raw,0.006265435643464995,0.179457356284219,0.0,100
syn_LEA_1,nardini_Q Patch_raw,-0.0033196616498997462,0.40064662230658027,0.0,100
